Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	1740	20	4.362668625637897e-11	2.6794683860932974e-08	PARP1:LGALS3:ICAM1:APOE:PLEK:TRIB3:RIPK4:EP300:IRAK2:HTT:TLR6:REST:EGF:TLR2:LARS:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION
GO_bp	GO_APOPTOTIC_PROCESS	1956	21	4.452252713593977e-11	2.6794683860932974e-08	PARP1:LGALS3:BLM:BRCA1:ICAM1:APOE:FRZB:TRIB3:EP300:MLH1:ARHGEF3:HTT:KDR:REST:TLR2:CSF1R:UBD:CTSB:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_APOPTOTIC_PROCESS
GO_bp	GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	1966	21	4.8935677637795e-11	2.6794683860932974e-08	PARP1:FOXM1:FOS:BLM:ZFPM1:BRCA1:ICAM1:APOE:SP3:EP300:KAT2B:TLR6:KDR:REST:EGF:TLR2:CCNH:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS
GO_bp	GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1005	16	5.103749306844376e-11	2.6794683860932974e-08	ICAM1:APOE:EP300:IRAK2:HTT:TLR6:KDR:EGF:TLR2:LARS:CSF1R:FGFR4:UBD:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION
GO_bp	GO_POSITIVE_REGULATION_OF_BINDING	182	9	7.255738770196768e-11	3.555311997396416e-08	PARP1:LGALS3:APOE:TRIB3:EP300:EGF:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_BINDING
GO_bp	GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1826	20	1.026389618165165e-10	4.714977308446227e-08	FOXM1:LGALS3:BLM:BRCA1:ICAM1:APOE:TRIB3:EP300:IRAK2:KAT2B:HTT:TLR6:KDR:EGF:CCNH:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS
GO_bp	GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	909	15	1.3695037219833564e-10	5.921089621516276e-08	PARP1:BRCA1:ICAM1:APOE:PLEK:ANKRD53:EP300:KAT2B:HTT:TLR6:KDR:REST:TLR2:RIOK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS
GO_bp	GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	632	13	1.9003266798533427e-10	7.406036896685055e-08	EPRS:PARP1:BLM:BRCA1:ICAM1:TRIB3:KAT2B:TLR6:LARS:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
GO_bp	GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	1677	19	1.914485728394776e-10	7.406036896685055e-08	FOXM1:LGALS3:BLM:ICAM1:APOE:PLEK:TRIB3:IRAK2:KAT2B:HTT:TLR6:KDR:EGF:CCNH:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS
GO_bp	GO_LEUKOCYTE_DIFFERENTIATION	507	12	2.088539432938684e-10	7.675382416049663e-08	PARP1:FOS:BLM:IL4R:ZFPM1:SP3:EP300:TLR2:CSF1R:UBD:RIPK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LEUKOCYTE_DIFFERENTIATION
GO_bp	GO_REGULATION_OF_CELL_DEATH	1697	19	2.337022334624205e-10	8.105822346013601e-08	PARP1:LGALS3:FOS:BLM:BRCA1:ICAM1:APOE:FRZB:ARHGEF3:HTT:TLR6:KDR:REST:CSF1R:UBD:CTSB:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELL_DEATH
GO_bp	GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1118	16	2.426232538942847e-10	8.105822346013601e-08	EPRS:PARP1:FOS:BLM:BRCA1:ICAM1:TRIB3:IRAK2:KAT2B:TLR6:TLR2:LARS:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND
GO_bp	GO_INNATE_IMMUNE_RESPONSE	966	15	3.16738055558299e-10	9.931682891343116e-08	EPRS:OAS3:LGALS3:ICAM1:TYK2:APOE:EP300:IRAK2:TLR6:TLR2:CSF1R:UBD:CTSB:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_INNATE_IMMUNE_RESPONSE
GO_bp	GO_MYELOID_CELL_DIFFERENTIATION	408	11	3.242998495132446e-10	9.931682891343116e-08	PARP1:LGALS3:FOS:ZFPM1:SP3:EP300:KAT2B:TLR2:CSF1R:UBD:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MYELOID_CELL_DIFFERENTIATION
GO_bp	GO_DNA_REPAIR	541	12	4.3669102488246155e-10	1.283871613154437e-07	PARP1:FOXM1:POLE:HERC2:BLM:BRCA1:EP300:MLH1:POLQ:CCNH:MDC1:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_REPAIR
GO_bp	GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1393	17	6.896325309692665e-10	1.949538116393888e-07	PARP1:FOS:MAPK6:IL4R:BRCA1:APOE:FRZB:EP300:MLH1:KDR:REST:EGF:TLR2:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS
GO_bp	GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1603	18	7.388382663250429e-10	2.0112819472181725e-07	EPRS:PARP1:NDUFA9:FOS:BLM:BRCA1:ICAM1:APOE:TRIB3:IRAK2:KAT2B:TLR6:TLR2:LARS:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND
GO_bp	GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	445	11	8.071321570085761e-10	2.118721912147512e-07	IL4R:ZFPM1:BRCA1:EP300:TLR6:TLR2:CSF1R:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GO_bp	GO_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	1891	19	1.4196552740757913e-09	3.5980918153300224e-07	EPRS:PARP1:NDUFA9:SERPINA1:BLM:ICAM1:APOE:PLEK:ANKRD53:SYNJ1:EP300:POLQ:FGFRL1:TLR6:EGF:CCNH:HSPA4:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY
GO_bp	GO_REGULATION_OF_MAPK_CASCADE	751	13	1.5369276328089808e-09	3.73940419268e-07	FOXM1:ICAM1:APOE:TRIB3:IRAK2:TLR6:KDR:EGF:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_MAPK_CASCADE
GO_bp	GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1684	18	1.6128640938217283e-09	3.73940419268e-07	FOXM1:LGALS3:BLM:IL4R:BRCA1:APOE:FRZB:KAT2B:FGFRL1:KDR:REST:EGF:TLR2:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION
GO_bp	GO_SMALL_MOLECULE_METABOLIC_PROCESS	1685	18	1.628039920622585e-09	3.73940419268e-07	EPRS:PARP1:DLAT:NDUFA9:CES1:BRCA1:APOE:PLEK:TRIB3:SYNJ1:EP300:KAT2B:GMPS:REST:TLR2:LARS:FGFR4:LPL	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SMALL_MOLECULE_METABOLIC_PROCESS
GO_bp	GO_REGULATION_OF_BINDING	369	10	2.1038047827244375e-09	4.6857470160680654e-07	PARP1:LGALS3:ZFPM1:APOE:TRIB3:EP300:EGF:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_BINDING
GO_bp	GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION	1955	19	2.4566428904239286e-09	5.310683895475257e-07	PARP1:FOXM1:FOS:BLM:ZFPM1:BRCA1:APOE:SP3:EP300:KAT2B:TLR6:REST:EGF:TLR2:CCNH:RIOK2:FGFR4:RIPK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION
GO_bp	GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	952	14	2.6918037042719533e-09	5.652787778971102e-07	FOXM1:MAPK6:ICAM1:APOE:TRIB3:IRAK2:TLR6:KDR:EGF:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION
GO_bp	GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	970	14	3.415720016355098e-09	6.973761700058326e-07	PARP1:FOS:MAPK6:IL4R:APOE:FRZB:EP300:KDR:REST:TLR2:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION
GO_bp	GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	666	12	4.510789797617226e-09	8.960622976347733e-07	NDUFA9:CES1:BRCA1:APOE:PLEK:TRIB3:EP300:KAT2B:GMPS:REST:FGFR4:LPL	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS
GO_bp	GO_MITOTIC_CELL_CYCLE	998	14	4.8999219251151e-09	9.477480565683154e-07	FOXM1:POLE:BLM:BRCA1:ANKRD53:TTC28:EP300:HTT:EGF:CCNH:RIOK2:UBD:MDC1:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MITOTIC_CELL_CYCLE
GO_bp	GO_POSITIVE_REGULATION_OF_SIGNALING	1813	18	5.132125400348134e-09	9.649552583516601e-07	PARP1:ICAM1:APOE:EP300:IRAK2:KAT2B:HTT:TLR6:KDR:EGF:TLR2:LARS:CSF1R:FGFR4:UBD:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_SIGNALING
GO_bp	GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	1188	15	5.251457188308354e-09	9.649552583516601e-07	PARP1:MAPK6:IL4R:BRCA1:ICAM1:APOE:PLEK:ANKRD53:SYNJ1:EP300:HTT:TLR6:KDR:EGF:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION
GO_bp	GO_POSITIVE_REGULATION_OF_MAPK_CASCADE	537	11	5.690767932889442e-09	1.020174251383839e-06	ICAM1:APOE:IRAK2:TLR6:KDR:EGF:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_MAPK_CASCADE
GO_bp	GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1606	17	5.835889097985455e-09	1.0212805921474546e-06	LGALS3:FOS:BLM:IL4R:ZFPM1:ICAM1:APOE:EP300:IRAK2:KAT2B:MLH1:TLR6:TLR2:CTSB:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GO_bp	GO_DNA_METABOLIC_PROCESS	844	13	6.198162549471244e-09	1.0594533660142708e-06	PARP1:FOXM1:POLE:FOS:HERC2:BLM:BRCA1:EP300:MLH1:POLQ:CCNH:MDC1:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_METABOLIC_PROCESS
GO_bp	GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	689	12	6.57707854275519e-09	1.0913376870679988e-06	EPRS:PARP1:FOS:BRCA1:ICAM1:TRIB3:EP300:KAT2B:REST:CTSB:LPL:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS
GO_bp	GO_REGULATION_OF_CELL_DIFFERENTIATION	1844	18	6.681659308579585e-09	1.0913376870679988e-06	PARP1:LGALS3:FOS:MAPK6:IL4R:ZFPM1:APOE:FRZB:TRIB3:EP300:KAT2B:KDR:REST:TLR2:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_CELL_DIFFERENTIATION
GO_bp	GO_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	75	6	6.935850809927532e-09	1.108228335934073e-06	BRCA1:APOE:PLEK:TRIB3:EP300:REST	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS
GO_bp	GO_REGULATION_OF_KINASE_ACTIVITY	857	13	7.429935127630635e-09	1.1619153869805355e-06	BLM:APOE:TRIB3:IRAK2:KAT2B:HTT:TLR6:EGF:CCNH:CSF1R:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_KINASE_ACTIVITY
GO_bp	GO_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	425	10	8.084282652017741e-09	1.2379057810902166e-06	FOS:ICAM1:RIPK4:EP300:IRAK2:TLR6:TLR2:NFKBIE:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY
GO_bp	GO_INFLAMMATORY_RESPONSE	714	12	9.758073439174692e-09	1.4637110158762038e-06	FOS:SERPINA1:IL4R:ICAM1:APOE:IRAK2:TLR6:TLR2:CSF1R:LPL:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_INFLAMMATORY_RESPONSE
GO_bp	GO_REGULATION_OF_IMMUNE_RESPONSE	1072	14	1.2067851934782834e-08	1.7739742344130766e-06	LGALS3:FOS:IL4R:ICAM1:APOE:EP300:IRAK2:MLH1:TLR6:TLR2:CTSB:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_IMMUNE_RESPONSE
GO_bp	GO_REGULATION_OF_RESPONSE_TO_STRESS	1481	16	1.3445172328743384e-08	1.9376866003188996e-06	PARP1:FOXM1:BLM:BRCA1:APOE:PLEK:EP300:IRAK2:POLQ:TLR6:TLR2:CTSB:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_RESPONSE_TO_STRESS
GO_bp	GO_CHEMOKINE_PRODUCTION	84	6	1.3814977860074293e-08	1.95269398599127e-06	IL4R:ZFPM1:TLR2:CSF1R:LPL:RIPK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CHEMOKINE_PRODUCTION
GO_bp	GO_DOUBLE_STRAND_BREAK_REPAIR	238	8	1.81922453661002e-08	2.522886857374273e-06	PARP1:FOXM1:HERC2:BLM:BRCA1:MLH1:POLQ:MDC1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DOUBLE_STRAND_BREAK_REPAIR
GO_bp	GO_PROTEOLYSIS	1744	17	1.9676918990683245e-08	2.6782473070652196e-06	PARP1:SERPINA1:HERC2:CES1:BRCA1:APOE:TRIB3:EP300:KAT2B:REST:EGF:FGFR4:UBD:PMPCB:CTSB:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEOLYSIS
GO_bp	GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING	93	6	2.5561506261401556e-08	3.4003862061966466e-06	LGALS3:APOE:TRIB3:EP300:RIPK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING
GO_bp	GO_PEPTIDYL_TYROSINE_MODIFICATION	356	9	2.5907704428164925e-08	3.4003862061966466e-06	ICAM1:TYK2:KDR:EGF:CSF1R:FGFR4:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PEPTIDYL_TYROSINE_MODIFICATION
GO_bp	GO_REGULATION_OF_TRANSFERASE_ACTIVITY	956	13	2.690747609545438e-08	3.4696482333612224e-06	BLM:APOE:TRIB3:IRAK2:KAT2B:HTT:TLR6:EGF:CCNH:CSF1R:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANSFERASE_ACTIVITY
GO_bp	GO_NON_RECOMBINATIONAL_REPAIR	95	6	2.9058449180166014e-08	3.6824069219693137e-06	HERC2:BLM:BRCA1:MLH1:POLQ:MDC1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NON_RECOMBINATIONAL_REPAIR
GO_bp	GO_RESPONSE_TO_HORMONE	973	13	3.30580886750848e-08	4.118253419692768e-06	EPRS:PARP1:FOS:BRCA1:ICAM1:TRIB3:EP300:KAT2B:REST:TLR2:CTSB:LPL:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_HORMONE
GO_bp	GO_CELL_CYCLE_PROCESS	1370	15	3.477557239603041e-08	4.260007618513725e-06	FOXM1:POLE:BLM:BRCA1:ANKRD53:EP300:KAT2B:MLH1:HTT:EGF:CCNH:RIOK2:UBD:MDC1:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_CYCLE_PROCESS
GO_bp	GO_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	260	8	3.607242691343693e-08	4.293828876074075e-06	ICAM1:RIPK4:EP300:IRAK2:TLR6:TLR2:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY
GO_bp	GO_POSITIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS	1592	16	3.673757642179392e-08	4.293828876074075e-06	PARP1:FOXM1:FOS:BLM:ZFPM1:BRCA1:APOE:SP3:EP300:KAT2B:REST:EGF:TLR2:CCNH:RIPK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_RNA_BIOSYNTHETIC_PROCESS
GO_bp	GO_REGULATION_OF_PROTEIN_LOCALIZATION	982	13	3.680424750920636e-08	4.293828876074075e-06	PARP1:LGALS3:IL4R:TLR6:REST:EGF:TLR2:RIOK2:CSF1R:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_PROTEIN_LOCALIZATION
GO_bp	GO_RESPONSE_TO_PEPTIDE	503	10	3.947875542997341e-08	4.533888318911009e-06	EPRS:PARP1:ICAM1:TRIB3:KAT2B:TLR6:TLR2:LPL:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_PEPTIDE
GO_bp	GO_CELL_CYCLE	1834	17	4.096441081426687e-08	4.63212953053633e-06	FOXM1:POLE:MAPK6:BLM:BRCA1:ANKRD53:TTC28:EP300:KAT2B:MLH1:HTT:EGF:CCNH:RIOK2:UBD:MDC1:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_CYCLE
GO_bp	GO_CELLULAR_RESPONSE_TO_PEPTIDE	377	9	4.229861007009796e-08	4.710527030533637e-06	EPRS:PARP1:ICAM1:TRIB3:KAT2B:TLR6:LPL:RIPK2:JAK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_PEPTIDE
GO_bp	GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	175	7	4.552832464299113e-08	4.994525166059475e-06	LGALS3:IL4R:ZFPM1:ICAM1:MLH1:RIPK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GO_bp	GO_SECRETION	1628	16	5.0013655998707636e-08	5.372773771758711e-06	LGALS3:SERPINA1:IL4R:PLEK:ACTR1B:SYNJ1:TLR6:REST:EGF:TLR2:CSF1R:CTSB:LPL:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SECRETION
GO_bp	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	1629	16	5.043828438793892e-08	5.372773771758711e-06	FOXM1:LGALS3:BLM:IL4R:BRCA1:ICAM1:APOE:PLEK:FRZB:TRIB3:POLQ:HTT:TLR6:EGF:LPL:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS
GO_bp	GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	841	12	5.859239286392293e-08	6.152201250711907e-06	PARP1:FOXM1:POLE:HERC2:BLM:BRCA1:EP300:MLH1:POLQ:CCNH:MDC1:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS
GO_bp	GO_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	54	5	6.365545579431489e-08	6.5896845082847105e-06	IL4R:TLR2:CSF1R:LPL:RIPK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION
GO_bp	GO_POSITIVE_REGULATION_OF_CELL_DEATH	698	11	8.223282426636737e-08	8.394600810525003e-06	PARP1:FOS:FRZB:ARHGEF3:HTT:TLR6:REST:UBD:RIPK2:JAK2:ABL1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CELL_DEATH
